TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
2,24,2,2,0.06,FBL,Neg,Long,FB,1,20,19,38,1,2
3,24,3,1,-0.01,MCS,Pos,Short,Mem,1,20,19,38,2,1
4,24,4,2,0.07,MCL,Neg,Long,Mem,1,20,19,38,2,2
5,24,1,1,-0.01,FBS,Pos,Short,FB,1,20,19,38,1,1
6,24,3,2,0.2,MCS,Neg,Short,Mem,1,20,19,38,2,1
7,24,4,1,-0.02,MCL,Pos,Long,Mem,1,20,19,38,2,2
8,24,2,1,0.22,FBL,Pos,Long,FB,1,20,19,38,1,2
9,24,1,2,0.03,FBS,Neg,Short,FB,1,20,19,38,1,1
10,24,3,2,0,MCS,Neg,Short,Mem,1,20,19,38,2,1
11,24,2,2,0.08,FBL,Neg,Long,FB,1,20,19,38,1,2
12,24,4,2,-0.08,MCL,Neg,Long,Mem,1,20,19,38,2,2
13,24,4,1,0.02,MCL,Pos,Long,Mem,1,20,19,38,2,2
14,24,2,1,-0.03,FBL,Pos,Long,FB,1,20,19,38,1,2
15,24,3,1,-0.01,MCS,Pos,Short,Mem,1,20,19,38,2,1
16,24,1,2,0.03,FBS,Neg,Short,FB,1,20,19,38,1,1
1,27,1,1,0.02,FBS,Pos,Short,FB,2,18,12,34,1,1
2,27,2,2,0.07,FBL,Neg,Long,FB,2,18,12,34,1,2
3,27,3,1,0.39,MCS,Pos,Short,Mem,2,18,12,34,2,1
4,27,4,2,-0.01,MCL,Neg,Long,Mem,2,18,12,34,2,2
5,27,1,1,-0.01,FBS,Pos,Short,FB,2,18,12,34,1,1
6,27,3,2,-0.04,MCS,Neg,Short,Mem,2,18,12,34,2,1
7,27,4,1,-0.03,MCL,Pos,Long,Mem,2,18,12,34,2,2
8,27,2,1,-0.01,FBL,Pos,Long,FB,2,18,12,34,1,2
9,27,1,2,0.15,FBS,Neg,Short,FB,2,18,12,34,1,1
10,27,3,2,0,MCS,Neg,Short,Mem,2,18,12,34,2,1
11,27,2,2,0.03,FBL,Neg,Long,FB,2,18,12,34,1,2
12,27,4,2,0.42,MCL,Neg,Long,Mem,2,18,12,34,2,2
13,27,4,1,0.57,MCL,Pos,Long,Mem,2,18,12,34,2,2
14,27,2,1,0.02,FBL,Pos,Long,FB,2,18,12,34,1,2
15,27,3,1,0.01,MCS,Pos,Short,Mem,2,18,12,34,2,1
16,27,1,2,-0.03,FBS,Neg,Short,FB,2,18,12,34,1,1
1,28,1,1,0.01,FBS,Pos,Short,FB,1,19,14,32,1,1
2,28,2,2,-0.12,FBL,Neg,Long,FB,1,19,14,32,1,2
3,28,3,1,0.04,MCS,Pos,Short,Mem,1,19,14,32,2,1
4,28,4,2,0.08,MCL,Neg,Long,Mem,1,19,14,32,2,2
5,28,1,1,-0.01,FBS,Pos,Short,FB,1,19,14,32,1,1
6,28,3,2,-0.03,MCS,Neg,Short,Mem,1,19,14,32,2,1
7,28,4,1,-0.09,MCL,Pos,Long,Mem,1,19,14,32,2,2
8,28,2,1,0,FBL,Pos,Long,FB,1,19,14,32,1,2
9,28,1,2,-0.04,FBS,Neg,Short,FB,1,19,14,32,1,1
10,28,3,2,0.04,MCS,Neg,Short,Mem,1,19,14,32,2,1
11,28,2,2,-0.07,FBL,Neg,Long,FB,1,19,14,32,1,2
12,28,4,2,-0.04,MCL,Neg,Long,Mem,1,19,14,32,2,2
13,28,4,1,-0.04,MCL,Pos,Long,Mem,1,19,14,32,2,2
14,28,2,1,0.08,FBL,Pos,Long,FB,1,19,14,32,1,2
15,28,3,1,0,MCS,Pos,Short,Mem,1,19,14,32,2,1
16,28,1,2,-0.03,FBS,Neg,Short,FB,1,19,14,32,1,1
1,30,1,1,0.06,FBS,Pos,Short,FB,2,19,9,40,1,1
2,30,2,2,-0.11,FBL,Neg,Long,FB,2,19,9,40,1,2
3,30,3,1,0.59,MCS,Pos,Short,Mem,2,19,9,40,2,1
4,30,4,2,0.01,MCL,Neg,Long,Mem,2,19,9,40,2,2
5,30,1,1,0.01,FBS,Pos,Short,FB,2,19,9,40,1,1
6,30,3,2,0.02,MCS,Neg,Short,Mem,2,19,9,40,2,1
7,30,4,1,-0.1,MCL,Pos,Long,Mem,2,19,9,40,2,2
8,30,2,1,0.27,FBL,Pos,Long,FB,2,19,9,40,1,2
9,30,1,2,0.01,FBS,Neg,Short,FB,2,19,9,40,1,1
10,30,3,2,0.11,MCS,Neg,Short,Mem,2,19,9,40,2,1
11,30,2,2,0.01,FBL,Neg,Long,FB,2,19,9,40,1,2
12,30,4,2,0,MCL,Neg,Long,Mem,2,19,9,40,2,2
13,30,4,1,0.03,MCL,Pos,Long,Mem,2,19,9,40,2,2
14,30,2,1,-0.07,FBL,Pos,Long,FB,2,19,9,40,1,2
15,30,3,1,-0.04,MCS,Pos,Short,Mem,2,19,9,40,2,1
16,30,1,2,0,FBS,Neg,Short,FB,2,19,9,40,1,1
1,31,1,1,0.08,FBS,Pos,Short,FB,2,19,14,40,1,1
2,31,2,2,0.59,FBL,Neg,Long,FB,2,19,14,40,1,2
3,31,3,1,-0.07,MCS,Pos,Short,Mem,2,19,14,40,2,1
4,31,4,2,-0.05,MCL,Neg,Long,Mem,2,19,14,40,2,2
5,31,1,1,0,FBS,Pos,Short,FB,2,19,14,40,1,1
6,31,3,2,-0.01,MCS,Neg,Short,Mem,2,19,14,40,2,1
7,31,4,1,0.14,MCL,Pos,Long,Mem,2,19,14,40,2,2
8,31,2,1,0.01,FBL,Pos,Long,FB,2,19,14,40,1,2
9,31,1,2,-0.15,FBS,Neg,Short,FB,2,19,14,40,1,1
10,31,3,2,0.02,MCS,Neg,Short,Mem,2,19,14,40,2,1
11,31,2,2,0.09,FBL,Neg,Long,FB,2,19,14,40,1,2
